Code,Description,Abbreviation
A43.9,"Nocardiosis, unspecified",NOCA NOS
A44,Bartonellosis,BART
A44.0,Systemic bartonellosis Oroya fever,SBO
A44.1,Cutaneous and mucocutaneous bartonellosis Verruga peruana,CMB
A44.8,Other forms of bartonellosis,FB
A44.9,"Bartonellosis, unspecified",BART NOS
A46,Erysipelas,ERYS
A48,"Other bacterial diseases, not elsewhere classified",BDN
A48.0,Gas gangrene Clostridial: • cellulitis • myonecrosis,GGC
A48.1,Legionnaires disease,LD
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],NLD
A48.3,Toxic shock syndrome,TSS
A48.4,Brazilian purpuric fever Systemic Haemophilus aegyptius infection,BPF
A48.8,Other specified bacterial diseases,BD
A49,Bacterial infection of unspecified site,BIS NOS
A49.0,"Staphylococcal infection, unspecified site",SIS NOS
A49.1,"Streptococcal and enterococcal infection, unspecified site",SEI NOS
A49.2,"Haemophilus influenzae infection, unspecified site",HII NOS
A49.3,"Mycoplasma infection, unspecified site",MIS NOS
A49.8,Other bacterial infections of unspecified site,BIS NOS
A49.9,"Bacterial infection, unspecified Bacteraemia NOS",BIB NOS
A50,Congenital syphilis,CS
A50.0,"Early congenital syphilis, symptomatic Any congenital syphilitic condition specified as early or manifest less than two years after birth. Early congenital syphilis: • cutaneous • mucocutaneous • visceral Early congenital syphilitic: • laryngitis • oculopathy • osteochondropathy • pharyngitis • pneumonia • rhinitis",ECS
A50.1,"Early congenital syphilis, latent Congenital syphilis without clinical manifestations, with positive serological reaction and negative spinal fluid test, less than two years after birth.",ECS
A50.2,"Early congenital syphilis, unspecified Congenital syphilis NOS less than two years after birth.",ECS NOS
A50.3,Late congenital syphilitic oculopathy Late congenital syphilitic interstitial keratitis† (H19.2*) Late congenital syphilitic oculopathy NEC† (H58.8*),LCS
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis] Dementia paralytica juvenilis Juvenile: • general paresis • tabes dorsalis • taboparetic neurosyphilis Late congenital syphilitic: • encephalitis† (G05.0*) • meningitis† (G01*) • polyneuropathy† (G63.0*),LCN
A50.5,"Other late congenital syphilis, symptomatic Any congenital syphilitic condition specified as late or manifest two years or more after birth. Clutton joints† (M03.1*) Hutchinson: • teeth • triad Late congenital: • cardiovascular syphilis† (I98.0*) • syphilitic: – arthropathy† (M03.1*) – osteochondropathy† (M90.2*) Syphilitic saddle nose",LCS NOS
A50.6,"Late congenital syphilis, latent Congenital syphilis without clinical manifestations, with positive serological reaction and negative spinal fluid test, two years or more after birth.",LCS
A50.7,"Late congenital syphilis, unspecified Congenital syphilis NOS two years or more after birth.",LCS NOS
A50.9,"Congenital syphilis, unspecified",CS NOS
A50–A53,syphilis,SYPH
A50–A64,transmission urethrotrigonitis (N30.3),TU
A51,Early syphilis,ES
A51.0,Primary genital syphilis Syphilitic chancre NOS,PGS NOS
A51.1,Primary anal syphilis,PAS
A51.2,Primary syphilis of other sites,PSS
A51.3,Secondary syphilis of skin and mucous membranes Condyloma latum Syphilitic: • alopecia† (L99.8*) • leukoderma† (L99.8*) • mucous patch,SSS
A51.4,Other secondary syphilis Secondary syphilitic: • female pelvic inflammatory disease† (N74.2*) • iridocyclitis† (H22.0*) • lymphadenopathy • meningitis† (G01*) • myositis† (M63.0*) • oculopathy NEC† (H58.8*) • periostitis† (M90.1*),SSS
A51.5,"Early syphilis, latent Syphilis (acquired) without clinical manifestations, with positive serological reaction and negative spinal fluid test, less than two years after infection.",ESL
A51.9,"Early syphilis, unspecified",ES NOS
A52,Late syphilis,LS
A52.0†,"Cardiovascular syphilis Cardiovascular syphilis NOS (I98.0*) Syphilitic: • aneurysm of aorta (I79.0*) • aortic incompetence (I39.1*) • aortitis (I79.1*) • arteritis, cerebral (I68.1*) • endocarditis NOS (I39.8*) • myocarditis (I41.0*) • pericarditis (I32.0*) • pulmonary regurgitation (I39.3*)",CSC NOS
A52.1,Symptomatic neurosyphilis Charcot arthropathy† (M14.6*) Late syphilitic: • acoustic neuritis† (H94.0*) • encephalitis† (G05.0*) • meningitis† (G01*) • optic atrophy† (H48.0*) • polyneuropathy† (G63.0*) • retrobulbar neuritis† (H48.1*) Syphilitic parkinsonism† (G22*) Tabes dorsalis,SNC
A52.2,Asymptomatic neurosyphilis,AN
A52.3,"Neurosyphilis, unspecified Gumma (syphilitic) Syphilis (late) of central nervous system NOS Syphiloma",NGS NOS
A52.7,"Other symptomatic late syphilis Glomerular disease in syphilis† (N08.0*) Gumma (syphilitic) any sites, except those classified to Late or tertiary syphilis A52.0–A52.3 Late syphilitic: • bursitis† (M73.1*) • chorioretinitis† (H32.0*) • episcleritis† (H19.0*) • female pelvic inflammatory disease† (N74.2*) • leukoderma† (L99.8*) • oculopathy NEC† (H58.8*) • peritonitis† (K67.2*) Syphilis [stage unspecified] of: • bone† (M90.2*) • liver† (K77.0*) • lung† (J99.8*) • muscle† (M63.0*) • synovium† (M68.0*)",SLS NOS
A52.8,"Late syphilis, latent Syphilis (acquired) without clinical manifestations, with positive serological reaction and negative spinal fluid test, two years or more after infection.",LSL
A52.9,"Late syphilis, unspecified",LS NOS
A53,Other and unspecified syphilis,SYPH NOS
A53.0,"Latent syphilis, unspecified as early or late Latent syphilis NOS Positive serological reaction for syphilis",LSA NOS
A53.9,"Syphilis, unspecified Infection due to Treponema pallidum NOS Syphilis (acquired) NOS",SIT NOS
A54,Gonococcal infection,GI
