Code,Description,Abbreviation
S52,Fracture of forearm,FF
S52.0,Fracture of upper end of ulna Coronoid process Elbow NOS Monteggia fracture-dislocation Olecranon process Proximal end,FUE NOS
S52.1,Fracture of upper end of radius Head Neck Proximal end,FUE
S52.2,Fracture of shaft of ulna,FSU
S52.3,Fracture of shaft of radius,FSR
S52.4,Fracture of shafts of both ulna and radius,FSB
S52.5,Fracture of lower end of radius Colles fracture Smith fracture,FLE
S52.6,Fracture of lower end of both ulna and radius,FLE
S52.7,Multiple fractures of forearm,MFF
S52.8,Fracture of other parts of forearm Lower end of ulna Head of ulna,FPF
S52.9,"Fracture of forearm, part unspecified",FFP NOS
S53,"Dislocation, sprain and strain of joints and ligaments of elbow",DSS
S53.0,Dislocation of radial head Radiohumeral joint,DRH
S53.1,"Dislocation of elbow, unspecified Ulnohumeral joint",DEU NOS
S53.2,Traumatic rupture of radial collateral ligament,TRR
S53.3,Traumatic rupture of ulnar collateral ligament,TRU
S53.4,Sprain and strain of elbow,SSE
S54,Injury of nerves at forearm level,INA
S54.0,Injury of ulnar nerve at forearm level Ulnar nerve NOS,IUN NOS
S54.1,Injury of median nerve at forearm level Median nerve NOS,IMN NOS
S54.2,Injury of radial nerve at forearm level Radial nerve NOS,IRN NOS
S54.3,Injury of cutaneous sensory nerve at forearm level,ICS
S54.7,Injury of multiple nerves at forearm level,IMN
S54.8,Injury of other nerves at forearm level,INA
S54.9,Injury of unspecified nerve at forearm level,INA NOS
S55,Injury of blood vessels at forearm level,IBV
S55.0,Injury of ulnar artery at forearm level,IUA
S55.1,Injury of radial artery at forearm level,IRA
S55.2,Injury of vein at forearm level,IVA
S55.7,Injury of multiple blood vessels at forearm level,IMB
S55.8,Injury of other blood vessels at forearm level,IBV
S55.9,Injury of unspecified blood vessel at forearm level,IBV NOS
S56,Injury of muscle and tendon at forearm level,IMT
S56.0,Injury of flexor muscle and tendon of thumb at forearm level,IFM
S56.1,Injury of long flexor muscle and tendon of other finger(s) at forearm level,ILF
S56.2,Injury of other flexor muscle and tendon at forearm level,IFM
S56.3,Injury of extensor or abductor muscles and tendons of thumb at forearm level,IEO
S56.4,Injury of extensor muscle and tendon of other finger(s) at forearm level,IEM
S56.5,Injury of other extensor muscle and tendon at forearm level,IEM
S56.7,Injury of multiple muscles and tendons at forearm level,IMM
S56.8,Injury of other and unspecified muscles and tendons at forearm level,IMT NOS
S57,Crushing injury of forearm,CIF
S57.0,Crushing injury of elbow,CIE
S57.8,Crushing injury of other parts of forearm,CIP
S57.9,"Crushing injury of forearm, part unspecified",CIF NOS
S58,Traumatic amputation of forearm,TAF
S58.0,Traumatic amputation at elbow level,TAA
S58.1,Traumatic amputation at level between elbow and wrist,TAA
S58.9,"Traumatic amputation of forearm, level unspecified",TAF NOS
S59,Other and unspecified injuries of forearm,IF NOS
S59.7,Multiple injuries of forearm Injuries classifiable to more than one of the categories S50-S58,MIF
S59.8,Other specified injuries of forearm,IF
S59.9,Unspecified injury of forearm Injuries to the wrist and hand (S60–S69),IFI NOS
S60,Superficial injury of wrist and hand,SIW
S60.0,Contusion of finger(s) without damage to nail Contusion of finger(s) NOS,CFW NOS
S60.1,Contusion of finger(s) with damage to nail,CFD
S60.2,Contusion of other parts of wrist and hand,CPW
S60.7,Multiple superficial injuries of wrist and hand,MSI
S60.8,Other superficial injuries of wrist and hand,SIW
S60.9,"Superficial injury of wrist and hand, unspecified",SIW NOS
S60–S69,"• wrist and hand insect bite or sting, venomous (T63.4)",•WH
S61,Open wound of wrist and hand,OWW
S61.0,Open wound of finger(s) without damage to nail Open wound of finger(s) NOS,OWF NOS
S61.1,Open wound of finger(s) with damage to nail,OWF
S61.7,Multiple open wounds of wrist and hand,MOW
S61.8,Open wound of other parts of wrist and hand,OWP
S61.9,"Open wound of wrist and hand, part unspecified",OWW NOS
S62,Fracture at wrist and hand level,FAW
S62.0,Fracture of navicular [scaphoid] bone of hand,FNB
S62.1,Fracture of other carpal bone(s) Capitate [os magnum] Hamate [unciform] Lunate [semilunar] Pisiform Trapezium [greater multangular] Trapezoid [lesser multangular] Triquetrum [cuneiform of carpus],FCB
S62.2,Fracture of first metacarpal bone Bennett’s fracture,FFM
S62.3,Fracture of other metacarpal bone,FMB
S62.4,Multiple fractures of metacarpal bones,MFM
S62.5,Fracture of thumb,FT
S62.6,Fracture of other finger,FF
S62.7,Multiple fractures of fingers,MFF
S62.8,Fracture of other and unspecified parts of wrist and hand,FPW NOS
S63,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level",DSS
S63.0,"Dislocation of wrist Carpal (bone) Carpometacarpal (joint) Metacarpal (bone), proximal end Midcarpal (joint) Radiocarpal (joint) Radioulnar (joint), distal Radius, distal end Ulna, distal end",DWC
S63.1,"Dislocation of finger Interphalangeal (joint), hand Metacarpal (bone), distal end Metacarpophalangeal (joint) Phalanx, hand Thumb",DFI
S63.2,Multiple dislocations of fingers,MDF
S63.3,"Traumatic rupture of ligament of wrist and carpus Collateral, wrist Radiocarpal (ligament) Ulnocarpal (palmar)",TRL
S63.4,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s) Collateral Palmar Volar plate,TRL
S63.5,Sprain and strain of wrist Carpal (joint) Radiocarpal (joint) (ligament),SSW
S63.6,"Sprain and strain of finger(s) Interphalangeal (joint), hand Metacarpophalangeal (joint) Phalanx, hand Thumb",SSF
S63.7,Sprain and strain of other and unspecified parts of hand,SSP NOS
S64,Injury of nerves at wrist and hand level,INA
S64.0,Injury of ulnar nerve at wrist and hand level,IUN
S64.1,Injury of median nerve at wrist and hand level,IMN
S64.2,Injury of radial nerve at wrist and hand level,IRN
S64.3,Injury of digital nerve of thumb,IDN
S64.4,Injury of digital nerve of other finger,IDN
S64.7,Injury of multiple nerves at wrist and hand level,IMN
S64.8,Injury of other nerves at wrist and hand level,INA
S64.9,Injury of unspecified nerve at wrist and hand level,INA NOS
S65,Injury of blood vessels at wrist and hand level,IBV
S65.0,Injury of ulnar artery at wrist and hand level,IUA
S65.1,Injury of radial artery at wrist and hand level,IRA
S65.2,Injury of superficial palmar arch,ISP
S65.3,Injury of deep palmar arch,IDP
S65.4,Injury of blood vessel(s) of thumb,IBV
S65.5,Injury of blood vessel(s) of other finger,IBV
S65.7,Injury of multiple blood vessels at wrist and hand level,IMB
S65.8,Injury of other blood vessels at wrist and hand level,IBV
S65.9,Injury of unspecified blood vessel at wrist and hand level,IBV NOS
S66,Injury of muscle and tendon at wrist and hand level,IMT
S66.0,Injury of long flexor muscle and tendon of thumb at wrist and hand level,ILF
S66.1,Injury of flexor muscle and tendon of other finger at wrist and hand level,IFM
S66.2,Injury of extensor muscle and tendon of thumb at wrist and hand level,IEM
S66.3,Injury of extensor muscle and tendon of other finger at wrist and hand level,IEM
S66.4,Injury of intrinsic muscle and tendon of thumb at wrist and hand level,IIM
S66.5,Injury of intrinsic muscle and tendon of other finger at wrist and hand level,IIM
S66.6,Injury of multiple flexor muscles and tendons at wrist and hand level,IMF
S66.7,Injury of multiple extensor muscles and tendons at wrist and hand level,IME
S66.8,Injury of other muscles and tendons at wrist and hand level,IMT
S66.9,Injury of unspecified muscle and tendon at wrist and hand level,IMT NOS
S67,Crushing injury of wrist and hand,CIW
S67.0,Crushing injury of thumb and other finger(s),CIT
S67.8,Crushing injury of other and unspecified parts of wrist and hand,CIP NOS
S68,Traumatic amputation of wrist and hand,TAW
S68.0,Traumatic amputation of thumb (complete)(partial),TAT
S68.1,Traumatic amputation of other single finger (complete)(partial),TAS
S68.2,Traumatic amputation of two or more fingers alone (complete)(partial),TAT
S68.3,Combined traumatic amputation of (part of) finger(s) with other parts of wrist and hand,CTA
S68.4,Traumatic amputation of hand at wrist level,TAH
S68.8,Traumatic amputation of other parts of wrist and hand,TAP
S68.9,"Traumatic amputation of wrist and hand, level unspecified",TAW NOS
S69,Other and unspecified injuries of wrist and hand,IWH NOS
S69.7,Multiple injuries of wrist and hand Injuries classifiable to more than one of the categories S60–S68,MIW
S69.8,Other specified injuries of wrist and hand,IWH
S69.9,Unspecified injury of wrist and hand Injuries to the hip and thigh (S70–S79),IWH NOS
S70,Superficial injury of hip and thigh,SIH
S70.0,Contusion of hip,CH
S70.1,Contusion of thigh,CT
S70.7,Multiple superficial injuries of hip and thigh,MSI
S70.8,Other superficial injuries of hip and thigh,SIH
S70.9,"Superficial injury of hip and thigh, unspecified",SIH NOS
S70–S79,Injuries to the hip and thigh,IHT
S71,Open wound of hip and thigh,OWH
S71.0,Open wound of hip,OWH
S71.1,Open wound of thigh,OWT
S71.7,Multiple open wounds of hip and thigh,MOW
S71.8,Open wound of other and unspecified parts of pelvic girdle,OWP NOS
S72,Fracture of femur The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed: 0 closed 1 open,FFF
S72.0,Fracture of neck of femur Fracture of hip NOS,FNF NOS
S72.1,Pertrochanteric fracture Intertrochanteric fracture Trochanteric fracture,PFI
S72.2,Subtrochanteric fracture,SF
S72.3,Fracture of shaft of femur,FSF
S72.4,Fracture of lower end of femur,FLE
S72.7,Multiple fractures of femur,MFF
S72.8,Fractures of other parts of femur,FPF
S72.9,"Fracture of femur, part unspecified",FFP NOS
S73,"Dislocation, sprain and strain of joint and ligaments of hip",DSS
S73.0,Dislocation of hip,DH
S73.1,Sprain and strain of hip,SSH
S74,Injury of nerves at hip and thigh level,INA
S74.0,Injury of sciatic nerve at hip and thigh level,ISN
S74.1,Injury of femoral nerve at hip and thigh level,IFN
S74.2,Injury of cutaneous sensory nerve at hip and thigh level,ICS
S74.7,Injury of multiple nerves at hip and thigh level,IMN
S74.8,Injury of other nerves at hip and thigh level,INA
S74.9,Injury of unspecified nerve at hip and thigh level,INA NOS
S75,Injury of blood vessels at hip and thigh level,IBV
S75.0,Injury of femoral artery,IFA
S75.1,Injury of femoral vein at hip and thigh level,IFV
S75.2,Injury of greater saphenous vein at hip and thigh level,IGS
S75.7,Injury of multiple blood vessels at hip and thigh level,IMB
S75.8,Injury of other blood vessels at hip and thigh level,IBV
S75.9,Injury of unspecified blood vessel at hip and thigh level,IBV NOS
S76,Injury of muscle and tendon at hip and thigh level,IMT
S76.0,Injury of muscle and tendon of hip,IMT
S76.1,Injury of quadriceps muscle and tendon Patellar ligament (tendon),IQM
S76.2,Injury of adductor muscle and tendon of thigh,IAM
S76.3,Injury of muscle and tendon of the posterior muscle group at thigh level,IMT
S76.4,Injury of other and unspecified muscles and tendons at thigh level,IMT NOS
S76.7,Injury of multiple muscles and tendons at hip and thigh level,IMM
S77,Crushing injury of hip and thigh,CIH
S77.0,Crushing injury of hip,CIH
S77.1,Crushing injury of thigh,CIT
S77.2,Crushing injury of hip with thigh,CIH
S78,Traumatic amputation of hip and thigh,TAH
S78.0,Traumatic amputation at hip joint,TAA
S78.1,Traumatic amputation at level between hip and knee,TAA
S78.9,"Traumatic amputation of hip and thigh, level unspecified",TAH NOS
S79,Other and unspecified injuries of hip and thigh,IHT NOS
S79.7,Multiple injuries of hip and thigh Injuries classifiable to more than one of the categories S70-S78,MIH
S79.8,Other specified injuries of hip and thigh,IHT
S79.9,Unspecified injury of hip and thigh,IHT NOS
S80,Superficial injury of lower leg,SIL
S80.0,Contusion of knee,CK
S80.1,Contusion of other and unspecified parts of lower leg,CPL NOS
S80.7,Multiple superficial injuries of lower leg,MSI
S80.8,Other superficial injuries of lower leg,SIL
S80.9,"Superficial injury of lower leg, unspecified",SIL NOS
S80–S89,Injuries to the knee and lower leg,IKL
S81,Open wound of lower leg,OWL
S81.0,Open wound of knee,OWK
S81.7,Multiple open wounds of lower leg,MOW
S81.8,Open wound of other parts of lower leg,OWP
S81.9,"Open wound of lower leg, part unspecified",OWL NOS
S82,"Fracture of lower leg, including ankle",FLL
S82.0,Fracture of patella Knee cap,FPK
S82.1,Fracture of upper end of tibia Tibial: • condyles • head with or without mention of fracture of • plateau fibula • proximal end • tuberosity,FUE
S82.2,Fracture of shaft of tibia With or without mention of fracture of fibula,FST
S82.3,Fracture of lower end of tibia With or without mention of fracture of fibula,FLE
S82.4,Fracture of fibula alone,FFA
S82.5,Fracture of medial malleolus Tibia involving: • ankle • malleolus,FMM
S82.6,Fracture of lateral malleolus Fibula involving: • ankle • malleolus,FLM
S82.7,Multiple fractures of lower leg,MFL
S82.8,Fractures of other parts of lower leg Fracture (of): • ankle NOS • bimalleolar • trimalleolar,FPL NOS
S82.9,"Fracture of lower leg, part unspecified",FLL NOS
S83,"Dislocation, sprain and strain of joints and ligaments of knee",DSS
S83.0,Dislocation of patella,DP
S83.1,Dislocation of knee Tibiofibular (joint),DKT
S83.2,"Tear of meniscus, current Bucket-handle tear (of): • NOS • lateral meniscus • medial meniscus",TMC NOS
S83.3,"Tear of articular cartilage of knee, current",TAC
S83.4,Sprain and strain involving (fibular)(tibial) collateral ligament of knee,SSI
S83.5,Sprain and strain involving (anterior)(posterior) cruciate ligament of knee,SSI
S83.6,"Sprain and strain of other and unspecified parts of knee Tibiofibular joint and ligament, superior",SSP NOS
S83.7,Injury to multiple structures of knee Injury to (lateral)(medial) meniscus in combination with (collateral) (cruciate) ligaments,IMS
S84,Injury of nerves at lower leg level,INA
S84.0,Injury of tibial nerve at lower leg level,ITN
S84.1,Injury of peroneal nerve at lower leg level,IPN
S84.2,Injury of cutaneous sensory nerve at lower leg level,ICS
S84.7,Injury of multiple nerves at lower leg level,IMN
S84.8,Injury of other nerves at lower leg level,INA
S84.9,Injury of unspecified nerve at lower leg level,INA NOS
S85,Injury of blood vessels at lower leg level,IBV
S85.0,Injury of popliteal artery,IPA
S85.1,Injury of (anterior)(posterior) tibial artery,ITA
S85.2,Injury of peroneal artery,IPA
S85.3,Injury of greater saphenous vein at lower leg level Greater saphenous vein NOS,IGS NOS
S85.4,Injury of lesser saphenous vein at lower leg level,ILS
S85.5,Injury of popliteal vein,IPV
S85.7,Injury of multiple blood vessels at lower leg level,IMB
S85.8,Injury of other blood vessels at lower leg level,IBV
S85.9,Injury of unspecified blood vessel at lower leg level,IBV NOS
S86,Injury of muscle and tendon at lower leg level,IMT
S86.0,Injury of Achilles tendon,IAT
S86.1,Injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level,IMT
S86.2,Injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level,IMT
S86.3,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level,IMT
S86.7,Injury of multiple muscles and tendons at lower leg level,IMM
S86.8,Injury of other muscles and tendons at lower leg level,IMT
S86.9,Injury of unspecified muscle and tendon at lower leg level,IMT NOS
S87,Crushing injury of lower leg,CIL
S87.0,Crushing injury of knee,CIK
S87.8,Crushing injury of other and unspecified parts of lower leg,CIP NOS
S88,Traumatic amputation of lower leg,TAL
S88.0,Traumatic amputation at knee level,TAA
S88.1,Traumatic amputation at level between knee and ankle,TAA
S88.9,"Traumatic amputation of lower leg, level unspecified",TAL NOS
S89,Other and unspecified injuries of lower leg,ILL NOS
S89.7,Multiple injuries of lower leg Injuries classifiable to more than one of the categories S80–S88,MIL
S89.8,Other specified injuries of lower leg,ILL
S89.9,Unspecified injury of lower leg,ILL NOS
S90,Superficial injury of ankle and foot,SIA
S90.0,Contusion of ankle,CA
S90.1,Contusion of toe(s) without damage to nail Contusion of toe(s) NOS,CTW NOS
S90.2,Contusion of toe(s) with damage to nail,CTD
S90.3,Contusion of other and unspecified parts of foot,CPF NOS
S90.7,Multiple superficial injuries of ankle and foot,MSI
S90.8,Other superficial injuries of ankle and foot,SIA
S90.9,"Superficial injury of ankle and foot, unspecified",SIA NOS
S90–S99,"• ankle and foot, except fracture of ankle and malleolus",•AF
S91,Open wound of ankle and foot,OWA
S91.0,Open wound of ankle,OWA
S91.1,Open wound of toe(s) without damage to nail Open wound of toe(s) NOS,OWT NOS
S91.2,Open wound of toe(s) with damage to nail,OWT
S91.3,Open wound of other parts of foot Open wound of foot NOS,OWP NOS
S91.7,Multiple open wounds of ankle and foot,MOW
S92,"Fracture of foot, except ankle",FFE
S92.0,Fracture of calcaneus Heel bone Os calcis,FCH
S92.1,Fracture of talus Astragalus,FTA
S92.2,"Fracture of other tarsal bone(s) Cuboid Cuneiform, foot (intermediate)(lateral)(medial) Navicular, foot",FTB
S92.3,Fracture of metatarsal bone,FMB
S92.4,Fracture of great toe,FGT
S92.5,Fracture of other toe,FT
S92.7,Multiple fractures of foot,MFF
S92.9,"Fracture of foot, unspecified",FF NOS
S93,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level",DSS
S93.0,"Dislocation of ankle joint Astragalus Fibula, lower end Talus Tibia, lower end",DAJ
S93.1,Dislocation of toe(s) Interphalangeal (joint(s)) Metatarsophalangeal (joint(s)),DTI
S93.2,Rupture of ligaments at ankle and foot level,RLA
S93.3,"Dislocation of other and unspecified parts of foot Navicular, foot Tarsal (joint(s)) Tarsometatarsal (joint(s))",DPF NOS
S93.4,"Sprain and strain of ankle Calcaneofibular (ligament) Deltoid (ligament) Internal collateral (ligament) Talofibular (ligament) Tibiofibular (ligament), distal",SSA
S93.5,Sprain and strain of toe(s) Interphalangeal (joint(s)) Metatarsophalangeal (joint(s)),SST
S93.6,Sprain and strain of other and unspecified parts of foot Tarsal (ligament) Tarsometatarsal (ligament),SSP NOS
S94,Injury of nerves at ankle and foot level,INA
S94.0,Injury of lateral plantar nerve,ILP
S94.1,Injury of medial plantar nerve,IMP
S94.2,"Injury of deep peroneal nerve at ankle and foot level Terminal, lateral branch of deep peroneal nerve",IDP
S94.3,Injury of cutaneous sensory nerve at ankle and foot level,ICS
S94.7,Injury of multiple nerves at ankle and foot level,IMN
S94.8,Injury of other nerves at ankle and foot level,INA
S94.9,Injury of unspecified nerve at ankle and foot level,INA NOS
S95,Injury of blood vessels at ankle and foot level,IBV
S95.0,Injury of dorsal artery of foot,IDA
S95.1,Injury of plantar artery of foot,IPA
S95.2,Injury of dorsal vein of foot,IDV
S95.7,Injury of multiple blood vessels at ankle and foot level,IMB
S95.8,Injury of other blood vessels at ankle and foot level,IBV
S95.9,Injury of unspecified blood vessel at ankle and foot level,IBV NOS
S96,Injury of muscle and tendon at ankle and foot level,IMT
S96.0,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level,IMT
S96.1,Injury of muscle and tendon of long extensor muscle of toe at ankle and foot level,IMT
S96.2,Injury of intrinsic muscle and tendon at ankle and foot level,IIM
S96.7,Injury of multiple muscles and tendons at ankle and foot level,IMM
S96.8,Injury of other muscles and tendons at ankle and foot level,IMT
S96.9,Injury of unspecified muscle and tendon at ankle and foot level,IMT NOS
S97,Crushing injury of ankle and foot,CIA
S97.0,Crushing injury of ankle,CIA
S97.1,Crushing injury of toe(s),CIT
S97.8,Crushing injury of other parts of ankle and foot Crushing injury of foot NOS,CIP NOS
S98,Traumatic amputation of ankle and foot,TAA
S98.0,Traumatic amputation of foot at ankle level,TAF
S98.1,Traumatic amputation of one toe,TAO
S98.2,Traumatic amputation of two or more toes,TAT
S98.3,Traumatic amputation of other parts of foot Combined traumatic amputation of toe(s) and other parts of foot,TAP
S98.4,"Traumatic amputation of foot, level unspecified",TAF NOS
S99,Other and unspecified injuries of ankle and foot,IAF NOS
S99.7,Multiple injuries of ankle and foot Injuries classifiable to more than one of the categories S90-S98,MIA
S99.8,Other specified injuries of ankle and foot,IAF
S99.9,Unspecified injury of ankle and foot Injuries involving multiple body regions (T00–T07),IAF NOS
T00,Superficial injuries involving multiple body regions,SII
T00.0,Superficial injuries involving head with neck Superficial injuries of sites classifiable to S00.- and S10.-,SII
T00.1,"Superficial injuries involving thorax with abdomen, lower back and pelvis Superficial injuries of sites classifiable to S20.-, S30.- and T09.0",SII
T00.2,"Superficial injuries involving multiple regions of upper limb(s) Superficial injuries of sites classifiable to S40.-, S50.-, S60.- and T11.0",SII
T00.3,"Superficial injuries involving multiple regions of lower limb(s) Superficial injuries of sites classifiable to S70.-, S80.-, S90.- and T13.0",SII
T00.6,Superficial injuries involving multiple regions of upper limb(s) with lower limb(s) Superficial injuries of sites classifiable to T00.2 and T00.3,SII
T00.8,Superficial injuries involving other combinations of body regions,SII
T00.9,"Multiple superficial injuries, unspecified Multiple: • abrasions • blisters (nonthermal) • bruises NOS • contusions • haematomas • insect bites (nonvenomous)",MSI NOS
T00–T06,injuries involving multiple body regions,IIM
T00–T07,"injuries involving multiple body regions insect bite or sting, venomous (T63.4)",IIM
T01,Open wounds involving multiple body regions,OWI
T01.0,Open wounds involving head with neck Open wounds of sites classifiable to S01.- and S11.-,OWI
T01.1,"Open wounds involving thorax with abdomen, lower back and pelvis Open wounds of sites classifiable to S21.-, S31.- and T09.1",OWI
T01.2,"Open wounds involving multiple regions of upper limb(s) Open wounds of sites classifiable to S41.-, S51.-, S61.- and T11.1",OWI
T01.3,"Open wounds involving multiple regions of lower limb(s) Open wounds of sites classifiable to S71.-, S81.-, S91.- and T13.1",OWI
T01.6,Open wounds involving multiple regions of upper limb(s) with lower limb(s) Open wounds of sites classifiable to T01.2 and T01.3,OWI
T01.8,Open wounds involving other combinations of body regions,OWI
T01.9,"Multiple open wounds, unspecified Multiple: • animal bites • cuts NOS • lacerations • puncture wounds",MOW NOS
T02,Fractures involving multiple body regions The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed: 0 closed 1 open,FIM
T02.0,Fractures involving head with neck Fractures of sites classifiable to S02.- and S12.-,FIH
T02.1,"Fractures involving thorax with lower back and pelvis Fractures of sites classifiable to S22.-, S32.- and T08",FIT
T02.2,"Fractures involving multiple regions of one upper limb Fractures of sites classifiable to S42.-, S52.-, S62.- and T10 of one upper limb",FIM
T02.3,"Fractures involving multiple regions of one lower limb Fractures of sites classifiable to S72.-, S82.-, S92.- and T12 of one lower limb",FIM
T02.4,"Fractures involving multiple regions of both upper limbs Fractures of sites classifiable to S42.-, S52.-, S62.- and T10 specified as bilateral",FIM
T02.5,"Fractures involving multiple regions of both lower limbs Fractures of sites classifiable to S72.-, S82.-, S92.- and T12 specified as bilateral",FIM
T02.6,Fractures involving multiple regions of upper limb(s) with lower limb(s),FIM
T02.7,Fractures involving thorax with lower back and pelvis with limb(s),FIT
T02.8,Fractures involving other combinations of body regions,FIC
T02.9,"Multiple fractures, unspecified",MF NOS
T03,"Dislocations, sprains and strains involving multiple body regions",DSS
T03.0,"Dislocations, sprains and strains involving head with neck Dislocations, sprains and strains of sites classifiable to S03.- and S13.-",DSS
T03.1,"Dislocations, sprains and strains involving thorax with lower back and pelvis Dislocations, sprains and strains of sites classifiable to S23.-, S33.- and T09.2",DSS
T03.2,"Dislocations, sprains and strains involving multiple regions of upper limb(s) Dislocations, sprains and strains of sites classifiable to S43.-, S53.-, S63.- and T11.2",DSS
T03.3,"Dislocations, sprains and strains involving multiple regions of lower limb(s) Dislocations, sprains and strains of sites classifiable to S73.-, S83.-, S93.- and T13.2",DSS
T03.4,"Dislocations, sprains and strains involving multiple regions of upper limb(s) with lower limb(s)",DSS
T03.8,"Dislocations, sprains and strains involving other combinations of body regions",DSS
T03.9,"Multiple dislocations, sprains and strains, unspecified",MDS NOS
T04,Crushing injuries involving multiple body regions,CII
T04.0,Crushing injuries involving head with neck Crushing injuries of sites classifiable to S07.- and S17.-,CII
T04.1,"Crushing injuries involving thorax with abdomen, lower back and pelvis Crushing injury of: • sites classifiable to S28.- and S38.- • trunk NOS",CII NOS
T04.2,"Crushing injuries involving multiple regions of upper limb(s) Crushing injury of: • sites classifiable to S47.-, S57.- and S67.- • upper limb NOS",CII NOS
T04.3,"Crushing injuries involving multiple regions of lower limb(s) Crushing injury of: • lower limb NOS • sites classifiable to S77.-, S87.- and S97.-",CII NOS
T04.4,Crushing injuries involving multiple regions of upper limb(s) with lower limb(s),CII
T04.7,"Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)",CIT
T04.8,Crushing injuries involving other combinations of body regions,CII
T04.9,"Multiple crushing injuries, unspecified",MCI NOS
T05,Traumatic amputations involving multiple body regions,TAI
T05.0,Traumatic amputation of both hands,TAB
T05.1,"Traumatic amputation of one hand and other arm [any level, except hand]",TAO
T05.2,Traumatic amputation of both arms [any level],TAB
T05.3,Traumatic amputation of both feet,TAB
T05.4,"Traumatic amputation of one foot and other leg [any level, except foot]",TAO
T05.5,Traumatic amputation of both legs [any level],TAB
T05.6,"Traumatic amputation of upper and lower limbs, any combination [any level]",TAU
T05.8,Traumatic amputations involving other combinations of body regions Transection of: • abdomen • thorax,TAI
T05.9,"Multiple traumatic amputations, unspecified",MTA NOS
T06,"Other injuries involving multiple body regions, not elsewhere classified",IIM
T06.0,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level Injuries classifiable to S04.- and S06.- with injuries classifiable to S14.-,IBC
T06.1,Injuries of nerves and spinal cord involving other multiple body regions,INS
T06.2,Injuries of nerves involving multiple body regions Multiple injuries of nerves NOS,INI NOS
T06.3,Injuries of blood vessels involving multiple body regions,IBV
T06.4,Injuries of muscles and tendons involving multiple body regions,IMT
T06.5,Injuries of intrathoracic organs with intra-abdominal and pelvic organs,IIO
T06.8,Other specified injuries involving multiple body regions,IIM
T07,Unspecified multiple injuries,MI NOS
T08,"Fracture of spine, level unspecified",FSL NOS
T08–T14,"Injuries to unspecified part of trunk, limb or body region",IPT NOS
T09,"Other injuries of spine and trunk, level unspecified",IST NOS
T09.0,"Superficial injury of trunk, level unspecified",SIT NOS
T09.1,"Open wound of trunk, level unspecified",OWT NOS
T09.2,"Dislocation, sprain and strain of unspecified joint and ligament of trunk",DSS NOS
T09.3,"Injury of spinal cord, level unspecified",ISC NOS
T09.4,"Injury of unspecified nerve, spinal nerve root and plexus of trunk",INS NOS
T09.5,Injury of unspecified muscle and tendon of trunk,IMT NOS
T09.6,"Traumatic amputation of trunk, level unspecified",TAT NOS
T09.8,"Other specified injuries of trunk, level unspecified",ITL NOS
T09.9,"Unspecified injury of trunk, level unspecified",ITL NOS
T10,"Fracture of upper limb, level unspecified",FUL NOS
T10–T11,"injuries of arm, level unspecified insect bite or sting, venomous (T63.4)",IAL NOS
T11,"Other injuries of upper limb, level unspecified",IUL NOS
T11.0,"Superficial injury of upper limb, level unspecified",SIU NOS
T11.1,"Open wound of upper limb, level unspecified",OWU NOS
T11.2,"Dislocation, sprain and strain of unspecified joint and ligament of upper limb, level unspecified",DSS NOS
T11.3,"Injury of unspecified nerve of upper limb, level unspecified",INU NOS
T11.4,"Injury of unspecified blood vessel of upper limb, level unspecified",IBV NOS
T11.5,"Injury of unspecified muscle and tendon of upper limb, level unspecified",IMT NOS
T11.6,"Traumatic amputation of upper limb, level unspecified Traumatic amputation of arm NOS",TAU NOS
T11.8,"Other specified injuries of upper limb, level unspecified",IUL NOS
T11.9,"Unspecified injury of upper limb, level unspecified Injury of arm NOS",IUL NOS
T12,"Fracture of lower limb, level unspecified",FLL NOS
T12–T13,"injuries of leg, level unspecified insect bite or sting, venomous (T63.4)",ILL NOS
T13,"Other injuries of lower limb, level unspecified",ILL NOS
T13.0,"Superficial injury of lower limb, level unspecified",SIL NOS
T13.1,"Open wound of lower limb, level unspecified",OWL NOS
T13.2,"Dislocation, sprain and strain of unspecified joint and ligament of lower limb, level unspecified",DSS NOS
T13.3,"Injury of unspecified nerve of lower limb, level unspecified",INL NOS
T13.4,"Injury of unspecified blood vessel of lower limb, level unspecified",IBV NOS
T13.5,"Injury of unspecified muscle and tendon of lower limb, level unspecified",IMT NOS
T13.6,"Traumatic amputation of lower limb, level unspecified Traumatic amputation of leg NOS",TAL NOS
T13.8,"Other specified injuries of lower limb, level unspecified",ILL NOS
T13.9,"Unspecified injury of lower limb, level unspecified Injury of leg NOS",ILL NOS
